"Ebene";"EDV-Code";"Code";"Titel";"Kurztitel"
4;"104024";"104024";"Röntgenstrukturanalyse";""
4;"104025";"104025";"Single-Molecule Chemistry";""
4;"104026";"104026";"Spektroskopie";""
4;"104027";"104027";"Computational Chemistry";""
2;"105";"105";"Geowissenschaften";""
3;"1051";"1051";"Geologie, Mineralogie";""
4;"105101";"105101";"Allgemeine Geologie";""
4;"105102";"105102";"Allgemeine Geophysik";""
4;"105103";"105103";"Erdölgeologie";""
4;"105104";"105104";"Erosion";""
4;"105105";"105105";"Geochemie";""
4;"105106";"105106";"Geodynamik";""
4;"105107";"105107";"Geoelektrik";""
4;"105108";"105108";"Geostatistik";""
4;"105109";"105109";"Geothermik";""
4;"105110";"105110";"Geschichte der Geologie";""
4;"105111";"105111";"Gravimetrie";""
4;"105112";"105112";"Historische Geologie";""
4;"105113";"105113";"Kristallographie";""
4;"105114";"105114";"Kulturgeologie";""
4;"105115";"105115";"Magnetik";""
4;"105116";"105116";"Mineralogie";""
4;"105117";"105117";"Paläobotanik";""
4;"105118";"105118";"Paläontologie";""
4;"105119";"105119";"Petrographie";""
4;"105120";"105120";"Petrologie";""
4;"105121";"105121";"Sedimentologie";""
4;"105122";"105122";"Seismik";""
4;"105123";"105123";"Stratigraphie";""
4;"105124";"105124";"Tektonik";""
4;"105125";"105125";"Petrophysik";""
4;"105126";"105126";"Angewandte Geophysik";""
4;"105127";"105127";"Geochronologie";""
4;"105128";"105128";"Geomikrobiologie";""
3;"1052";"1052";"Meteorologie, Klimatologie";""
4;"105201";"105201";"Aeronomie";""
4;"105202";"105202";"Agrarmeteorologie";""
4;"105203";"105203";"Bioklimatologie";""
4;"105204";"105204";"Klimatologie";""
4;"105205";"105205";"Klimawandel";""
4;"105206";"105206";"Meteorologie";""
4;"105207";"105207";"Gebirgsmeteorologie";""
4;"105208";"105208";"Atmosphärenchemie";""
3;"1053";"1053";"Hydrologie";""
4;"105301";"105301";"Gewässerschutz";""
4;"105302";"105302";"Hydrochemie";""
4;"105303";"105303";"Hydrogeologie";""
4;"105304";"105304";"Hydrologie";""
4;"105305";"105305";"Hydrometrie";""
4;"105306";"105306";"Ozeanographie";""
4;"105307";"105307";"Wassergüte";""
4;"105308";"105308";"Wasserressourcen";""
3;"1054";"1054";"Physische Geographie";""
4;"105401";"105401";"Biogeographie";""
4;"105402";"105402";"Bodengeographie";""
4;"105403";"105403";"Geoinformatik";""
4;"105404";"105404";"Geomorphologie";""
4;"105405";"105405";"Geoökologie";""
4;"105406";"105406";"Geschichte der Geographie";""
4;"105407";"105407";"Kartographie";""
4;"105408";"105408";"Physische Geographie";""
4;"105409";"105409";"Topographie";""
3;"1059";"1059";"Sonstige und interdisziplinäre Geowissenschaften";""
4;"105901";"105901";"Glaziologie";""
4;"105902";"105902";"Naturgefahren";""
4;"105903";"105903";"Speläologie";""
4;"105904";"105904";"Umweltforschung";""
4;"105905";"105905";"Umweltschutz";""
4;"105906";"105906";"Umweltgeowissenschaften";""
4;"105907";"105907";"Polarforschung";""
2;"106";"106";"Biologie";""
3;"1060";"1060";"Biologie";""
4;"106001";"106001";"Allgemeine Biologie";""
4;"106002";"106002";"Biochemie";""
